framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,4,4096,2048,6,256,1,1,power_law_1.01,0.8131954956054688
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,8,4096,2048,6,256,1,1,power_law_1.01,1.6021580505371094
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,16384,4096,2048,6,256,1,1,balanced,25.09408203125
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,16,4096,2048,6,256,1,1,power_law_1.01,2.796026916503906
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,48,4096,2048,6,256,1,1,power_law_1.01,5.473558959960938
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,32,4096,2048,6,256,1,1,power_law_1.01,3.8804376220703127
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,64,4096,2048,6,256,1,1,power_law_1.01,5.8099255371093745
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,80,4096,2048,6,256,1,1,power_law_1.01,6.008373413085938
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,96,4096,2048,6,256,1,1,power_law_1.01,6.171708984375
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,128,4096,2048,6,256,1,1,power_law_1.01,6.431975708007812
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,160,4096,2048,6,256,1,1,power_law_1.01,6.678755493164063
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,192,4096,2048,6,256,1,1,power_law_1.01,6.691920776367188
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,256,4096,2048,6,256,1,1,power_law_1.01,7.007146606445312
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,320,4096,2048,6,256,1,1,power_law_1.01,10.534842529296876
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,384,4096,2048,6,256,1,1,power_law_1.01,10.4782568359375
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,512,4096,2048,6,256,1,1,power_law_1.01,10.796259765624999
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,768,4096,2048,6,256,1,1,power_law_1.01,11.26054443359375
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,1024,4096,2048,6,256,1,1,power_law_1.01,11.43766845703125
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,1536,4096,2048,6,256,1,1,power_law_1.01,11.883214111328126
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,2048,4096,2048,6,256,1,1,power_law_1.01,12.01380859375
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,3072,4096,2048,6,256,1,1,power_law_1.01,12.569619140624999
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,4096,4096,2048,6,256,1,1,power_law_1.01,12.962716064453124
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,6144,4096,2048,6,256,1,1,power_law_1.01,14.420465087890625
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,8192,4096,2048,6,256,1,1,power_law_1.01,16.729805908203126
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,12288,4096,2048,6,256,1,1,power_law_1.01,21.693427734375
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,1,4096,2048,6,256,1,1,power_law_1.01,0.1645439910888672
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,2,4096,2048,6,256,1,1,power_law_1.01,0.3093497657775879
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,4,4096,2048,6,256,1,1,power_law_1.01,0.5042854309082031
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,8,4096,2048,6,256,1,1,power_law_1.01,0.8594054412841796
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,16,4096,2048,6,256,1,1,power_law_1.01,1.4491961669921873
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,32,4096,2048,6,256,1,1,power_law_1.01,2.0023423767089845
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,48,4096,2048,6,256,1,1,power_law_1.01,2.814275817871094
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,16384,4096,2048,6,256,1,1,power_law_1.01,27.901953125
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,64,4096,2048,6,256,1,1,power_law_1.01,2.989150085449219
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,80,4096,2048,6,256,1,1,power_law_1.01,3.0913421630859377
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,96,4096,2048,6,256,1,1,power_law_1.01,3.181426696777344
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,128,4096,2048,6,256,1,1,power_law_1.01,3.3102542114257814
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,160,4096,2048,6,256,1,1,power_law_1.01,3.437626342773437
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,192,4096,2048,6,256,1,1,power_law_1.01,3.450149841308594
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,256,4096,2048,6,256,1,1,power_law_1.01,3.609000854492187
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,320,4096,2048,6,256,1,1,power_law_1.01,3.6722470092773434
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,384,4096,2048,6,256,1,1,power_law_1.01,3.670639343261719
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,512,4096,2048,6,256,1,1,power_law_1.01,3.7938708496093754
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,768,4096,2048,6,256,1,1,power_law_1.01,3.9941900634765624
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,1024,4096,2048,6,256,1,1,power_law_1.01,4.087013244628906
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,1536,4096,2048,6,256,1,1,power_law_1.01,4.26345458984375
