framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,524288,0.01234
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,1048576,0.01409
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,2097152,0.01885
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,4194304,0.03690000000000001
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,8388608,0.04193
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,16777216,0.05352
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,33554432,0.08238
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,67108864,0.1503
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,134217728,0.2761
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,half,2,268435456,0.5186000000000001
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,512,0.005195
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,1024,0.01039
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,2048,0.01046
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,4096,0.01039
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,8192,0.0104
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,16384,0.01077
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,32768,0.01118
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,65536,0.01127
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,131072,0.01122
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,262144,0.01137
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,524288,0.01165
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,1048576,0.01271
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,2097152,0.014769999999999998
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,4194304,0.01969
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,8388608,0.03842
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,16777216,0.04324
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,33554432,0.055279999999999996
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,67108864,0.08652
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,134217728,0.1578
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,268435456,0.29040000000000005
TRTLLM,2.27.7,NVIDIA GB300,all_reduce,NCCL,int8,2,536870912,0.5486000000000001
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,256,0.005850000000000001
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,512,0.011700000000000002
